name	Email Address	Website	Description	Address	Phone	Fax	800 Number	TDD
Charlotte & Gwenyth Gray Foundation to Cure Batten Disease	curebatten@givingback.org	http://www.curebatten.org	Batten disease is a rare genetically inherited disorder which belongs to a group of progressive degenerative neurometabolic disorders, known as the neuronal ceroid lipofuscinoses (NCLs). NCLs are characterized by genetic mutations which disrupt cells’ ability to dispose of wastes, resulting in the abnormal accumulation of certain proteins and lipids within the nerve cells of the brain and other tissues of the body, resulting in progressive neurological impairment including developmental regression, seizures, blindness, behavior changes and dementia. There are many forms of NCL. Mutations in at least eight different genes are known to cause Batten disease. The foundation currently focuses on Late Infantile Batten disease caused by mutation(s) in the CLN6 gene. This particular variant is extremely rare and the disease course can differ significantly among cases, making it difficult to predict.	6033 West Century Blvd Suite 350Los Angeles, CA 90045 USA	NA	NA	NA	NA
Mitochondrial Medicine Society	NA	www.mitosoc.org	Advancing education, research and global collaboration in clinical mitochondrial medicine.	NA	NA	NA	NA	NA
NGLY1 Foundation	infor@ngly1.org	http://ngly1.org	NYGLY1.org eliminates the challenges of N-glycanase deficiency through research, awareness, and support.	175 W 200 S Ste 100Salt Lake City, UT 84101 USA	650-646-4591	NA	NA	NA
The Myelin Project	info@myelin.org	http://www.myelin.org	We are a 501(c)3 non-profit organization focused on improving the quality of life for those living with ALD and AMN through research, advocacy and family support. We believe we can accomplish our mission by pursuing the following initiatives to	P.O. Box 39Pacific Palisades, CA 94122 USA	1-800-869-3546	NA	NA	NA
International Society for Cutaneous Lymphomas	info@cutaneouslymphoma.org	http://www.cutaneouslymphoma.org	The International Society for Cutaneous Lymphomas is an international, non-profit medical society founded in 1992 composed of physicians dedicated to the treatment, research, and caring of patients with cutaneous lymphomas.  Physician members have varying specialty backgrounds including dermatology, hematology, oncology, dermatopathology, and others.The goals of the society are to provide physician education and to foster communication and collaboration to further studies for the understanding and treatment of lymphoproliferative and related disorders of the skin.	303 W. State StreetGeneva, IL 60134 USA	1-630-578-3991	1-630-262-1520	NA	NA
STXBP-1 Fund	stxbp1@gmail.com	http://www.stxdisorders.org	STXBP-1 Fund started as small group of concerned parents that began reaching out in the hopes of finding answers. Today, the organization strives to create awareness for those with STXBP-1 mutations, fund research, provide families with information, advocate to improve early detection and policies for orphaned diseases, and overall improve the lives of STX families.	2001 Hamilton Street Suite 917Philadelphia, PA 19130 USA	215-977-9955	NA	NA	NA
KCNQ2 CURE Alliance	info@kcnq2cure.org	http://www.kcnq2cure.org/	The mission of the KCNQ2 Cure Alliance is to educate and to advance research leading to treatments or a cure for patients living with the genetic disorder KCNQ2. Mutations of the KCNQ2 gene can cause have a variety of disorders depending on the severity; patients may experience seizures, epilepsy and intellectual disability.	3700 Quebec Street, Unit 100-118Denver, CO 80202 USA	303-887-9532	NA	NA	NA
Bohring-Opitz Syndrome Foundation, Inc.	bohringopitz@gmail.com	http://bos-foundation.org	The Bohring-Opitz Syndrome Foundation, Inc. is a 501c3 nonprofit organization dedicated to improving the lives of people affected by BOS through the establishment of medical advisory board, awareness initiatives, and parent/patient advocacy. Bohring-Opitz Syndrome is a rare genetic syndrome caused by a mutation in the ASXL 1 gene. Children with BOS can have feeding difficulties, recurring respiratory infections, sleep apnea, severe developmental delays, and brain abnormalities. The leading cause of death is respiratory infections.	1703 NW 42 PLGainesville, FL 32605 USA	NA	NA	NA	NA
NICER Foundation	info@nicer.ngo	https://nicer.ngo	The primary mission of the NICER Foundation is to make small cash grants to narcoleptics in crisis. These grants will either resolve the immediate issue or provide a temporary resolution to allow the grantee time to obtain other assistance.	4002 Brookhill RoadBaltimore, MD 21215 USA	NA	NA	NA	NA
Rare & Undiagnosed Network	gina@rareundiagnosed.org	http://www.rareundiagnosed.org	RUN aspires to provide strategic and effective resources for support, diagnosis, and treatment of rare and undiagnosed diseases. Its goals are to help bring whole genome sequencing to patients who need it through collaboration with organizations doing this work; to help support families through assessment of, and provision for, their financial and emotional needs; and to increase the quality of life of affected individuals and their families through education, research, and support.	3732 Sunridge DrivePark City, UT 84098 US	NA	NA	NA	NA
OMSLife Foundation	Mike@Omslifefoundation.Org	http://www.omslifefoundation.org/?q=en	The mission of the OMSLife Foundation is to raise awareness of OMS, provide a support network for caregivers, and fund OMS research. OMS is an autoimmune disease thought to occur when the body's immune system is attempting to battle a foreign substance in the body, typically a tumor or virus. The affected patients are primarily toddlers, aged 1 to 3 years.There are approximately 1,000 people in the US affected by this disease.	PO Box 2899Cypress, TX 77410 US	NA	NA	NA	NA
Curing Retinal Blindness Foundation	curingretinalblindness@gmail.com	http://crb1.org	NA	PO Box 8909Warner Robbins, GA 31095 	NA	NA	NA	NA
Autoimmune Hepatitis Association	AHRN@iupui.edu	http://www.aihep.org/		702 Rotary CircleSuite 205Indianapolis, IN 46202 	NA	NA	NA	NA
Portuguese Association for CDG	sindromecdg@gmail.com	http://www.apcdg.com	We are a nonprofit-organization aimed at fostering breakthrough research that make an important difference in the lives of patients and their family members. Our  actions are performed at the national and international level.	NA	0033641842555	NA	NA	NA
Pachyonychia Congenita Project	info@pachyonychia.org	http://www.pachyonychia.org	Pachyonychia Congenita Project (PC Project) has been recognized since 2004 as a public charity in the USA. With limited staff and a small budget, PC Project connects patients, researchers and physicians throughout the world in a united effort to help those with Pachyonychia Congenita.	2386 East Heritage WaySuite BSalt Lake City, UT 84109 	(877) 628-7300	NA	(877) 628-7300	NA
Mowat-Wilson Syndrome Foundation	debyc@mowat-wilson.org	http://www.mowat-wilson.org/	The mission of The Mowat-Wilson Foundation is to enhance the lives of people affected by Mowat-Wilson Syndrome by providing family support, raising awareness, and supporting research and education.	4009 Tyler William LnLas Vegas, NV 89130 	NA	NA	NA	NA
Fibrolamellar Cancer Foundation (FCP)	lomalley@fibrofoundation.org	http://www.fibrofoundation.org/	FCF's mission is three-fold	20 Horseneck Lane2nd FloorGreenwich, CT 06830 	203-862-3196	NA	NA	NA
MTM-CNM Family Connection, Inc.	info@mtm-cnm.org	http://www.mtm-cnm.org	MTM-CNM Family Connection, Inc. is a non-profit committed to connecting patients and families affected by Myotubular & Centronuclear Myopathy to resources, research, and relationships.  We host national conferences for the MTM & CNM community that bring together patients, families, researchers, medical professionals, and pharma industry to work together towards successful treatments and support in this rare disease journey.	4 Oakhill DriveMethuen, MA 01844 	978-683-0812	NA	NA	NA
ZNM- Zusammen Stark! e. V.	holfischer@posteo.org	http://www.znm-zusammenstark.org/en/	Centronuclear Myopathy is an umbrella term for several very rare, congenital muscle conditions. They have in common that the nuclei of the muscle fibers are located in their centers (centronuclear) and not as usual at the edges. The symptoms of the various centronuclar myopathies are relatively similar. Often the patients are too weak to walk, need respiratory aids and have to be fed via feeding tubes.	Käte-Hamburger-Weg 870569 Stuttgart  Germany	NA	NA	NA	NA
A Twist of Fate-ATS	NA	http://www.atwistoffate-ats.com/	A Twist of Fate-ATS is a 501c3 nonprofit patient group for arterial tortuosity syndrome, which is an extremely rare autosomal recessive genetic, connective tissue syndrome that causes hypermobility, and hernias.  It is mostly known for causing the arteries through out the body, to grow too long and kink.   Due to the abnormal, excessive growth and the elasticity of the artery walls, the arteries kink and twist, thus causing the risk of strokes, heart attack, aneurysm, and death to be extremely elevated.   There are only around 100 documented cases of ATS since the late 1960's in the entire world and the mortality rate is 40% by age 5.  Unfortunately, it is so rare, diagnosis usually does not come easily, nor is it usually detected early.  Some patients have been previously diagnosed with other connective tissue disorders, such as Elhers-Danlos Syndrome (EDS) or Loeys-Deitz Syndrome (LDS), and it is not until there is a life threatening event that more diagnostic testing is performed.	NA	NA	NA	NA	NA
Sweet’s Syndrome UK	helpforsweets@hotmail.co.uk	https://helpforsweetssyndromeuk.wordpress.com/	Sweet’s Syndrome UK is a patient advocacy group that helps those with the rare autoinflammatory skin condition, Sweet’s syndrome. The aims of the group are to	168 Tweedsmuir RoadTremorfa, Cardiff CF24 2RG 	NA	NA	NA	NA
Bartter Syndrome Foundation	liliya@barttersyndromefoundation.org	http://www.barttersyndromefoundation.org/index.php/en/	The Bartter Syndrome Foundation was started to inform others of a rare kidney condition termed bartter syndrome, to offer funding into clinical research associated with bartter syndrome and help others cope with the difficulties and financial burdens associated with battling this disorder. Bartter syndrome is a rare hereditary salt-wasting disorder, characterized by metabolic alkalosis, hypokalemia, hyperreninemia, and hyperaldosteronemia of varying severity1.	9401 Firestone DriveWarren, OH 44484 USA	NA	NA	NA	NA
HCU Network Australia	info@hcunetworkaustralia.org.au	http://www.hcunetworkaustralia.org.au/	HCU Network Australia's mission is to achieve meaningful progress for the HCU community by establishing a national network of stakeholders, raise awareness and support medical research to improve diagnostic methods, increase treatment options available and ultimately find a cure.	PO Box 7484Baulkham Hills NSW BC 2153,   Australia	NA	NA	NA	NA
A Cure in Sight	melody@acureinsight.org	http://acureinsight.net/	A Cure In Sight™ is an IRS approved 501 C(3) organization, EIN 46-1274306,  founded to raise ocular melanoma awareness and to help those with ocular melanoma find and pay for the treatments that they need. Ocular melanoma is a rare eye cancer that develops in the melanocytes of the eye’s choroid, iris or ciliary body.	9500 Euclid AvenueCleveland, OH  	NA	NA	NA	NA
SBS Cure Project	NA	http://www.sbscure.org/	SBS Cure Project is determined to educate our fellow SBS brothers and sisters about their treatment options AND to reach out to the world in support of our efforts.	P.O. Box 982Lakeville, MN 55044-0982 	NA	NA	NA	NA
ISMRD	info@ismrd.org	http://www.ismrd.org/	mission	20880 Canyon View DriveSaratoga, CA 95070 	NA	NA	NA	NA
Child Growth Foundation	info@childgrowthfoundation.org	http://www.childgrowthfoundation.org	Our mission is to support children and adults with growth related problems, and their families, fund research into potential solutions, raise awareness of growth problems, and support health professionals in the management of these conditions.	NA	020 8995 0257	NA	NA	NA
Rett Syndrome Research Trust	monica@rsrt.org or info@rsrt.org	http://www.rsrt.org/	The Rett Syndrome Research Trust (RSRT) is a non-profit organization with a highly personal and urgent mission	67 Under Cliff RoadTrumbull, CT 06611 	203.445.0041	NA	NA	NA
The JMML Foundation	NA	http://thejmmlfoundation.wildapricot.org/	Juvenile Myelomonocytic Leukemia (JMML) is a rare form of leukemia which affects young children, generally under the age of five.	NA	NA	NA	NA	NA
CMTC-OVM US	president@cmtcovm-us.org	http://www.cmtcovm-us.org/	We are a nonprofit organization whose activities are aimed at the well-being of people who suffer from vascular malformations such as CMTC (Van Lohuizen Syndrome) and to stimulate the scientific research of such conditions. Objectives of the CMTC-OVM US organization are focused to provide our members with knowledge, medical support that can enhance their confidence and independence, and to empower them with the skills to meet their individual needs.	3715 Wesley Chapel Rd.Zanesville, OH 43701 	NA	NA	NA	NA
Juvenile Polyposis Syndrome Online Support Group	pj4steph@aol.com	https://www.smartpatients.com/communities/peutz-jeghers-syndrome	The Juvenile Polyposis Syndrome Online Support Group is a free e-mail support group for patients, families, friends, researchers, and physicians. It provides a forum to discuss clinical and non-clinical issues and advances pertaining to juvenile polyposis syndrome. This is a rare, inherited disorder characterized by multiple, initially benign nodular growths of the GI tract and an increased risk of cancer throughout the body. Discussion topics include patient experiences, psychosocial issues, new research, clinical trials, and discussions of current treatment practices.	NA	NA	NA	NA	NA
Red Sanfilippo AC	contacto@redsanfilippo.org	http://www.redsanfilippo.org/		NA	+52 (477) 1092133	+52 (477) 2802408	NA	NA
Tess Research Foundation	kim@tessfoundation.org	http://tessresearch.org/	A non-profit organization dedicated to finding treatment options for the neurological disease SLC13A5	655 Oak Grove Ave#53Menlo Park, CA 94026 	650-521-2279	NA	NA	NA
Snyder-Robinson Foundation	administrator@snyder-robinson.org	http://www.snyder-robinson.org	The Snyder-Robinson Foundation is a 501(c)(3) tax-exempt organization formed to advance medical and scientific research related to Snyder-Robinson Syndrome ("SRS"), to support medical treatment and therapies for individuals with SRS, and for related charitable and educational purposes.	1443 Layman StreetMcLean, VA 22101 	703-203-0215	NA	NA	NA
Martin Mueller IV Achalasia Awareness Foundation, Inc.	info@achalasia.us	http://www.achalasia.us/	The Martin Mueller IV Achalasia Awareness Foundation will engage in three main activities	111 Hampton Meadows DrBonaire, GA 30105 	478-293-1822	NA	NA	NA
Bridge the Gap – SYNGAP Education and Research Foundation	bridge.syngap@yahoo.com	http://www.bridgesyngap.org	The Bridge the Gap - SYNGAP Education and Research Foundation is a nonprofit organization with a mission to serve, educate, and fund research for families coping with the effects of SYNGAP mutations.	15319 Redbud Berry WayCypress, TX 77433 	832-671-0010	NA	NA	NA
TKO Strong Foundation, Inc.	tkostrongfoundation@gmail.com	http://www.tkostrongfoundation.org	The TKO Strong Foundation is devoted to raising funds for intestinal failure research caused by microvillus inclusion disease and other genetic diseases.	PO Box 245Malverne, NY 11565 	5168872787	NA	NA	NA
Rothmund-Thomson Syndrome Foundation	rtssupport@rtsplace.org	http://www.rtsplace.org		4307 Woodward CourtChantilly, VA 20151 	NA	NA	NA	NA
National ALS Registry	alssystemadmin@cdc.gov	http://www.cdc.gov/als	The National Amyotrophic Lateral Sclerosis (ALS) Registry, created by ATSDR, is the only congressionally mandated population based registry for ALS in the United States. It attempts to identify every person with ALS in the U.S. Other ALS registries do not actively try to include everyone and are not congressionally mandated. The main goals of the Registry are to determine the incidence and prevalence, characterize the demographics, and examine the potential risk factors for persons with ALS in the United States.	4770 Buford Hwy NE MS F-57Atlanta, GA 30341 	8774429719	NA	8774429719	NA
Rare Cancer Research Foundation	info@rcrf.org	http://rcrf.org/	The Rare Cancer Research Foundation is dedicated to curing rare cancers through strategic investments and collaborations that catalyze effective research and accelerate deployment of promising therapies.	109 W. Main StreetDurham, NC 27701 USA	(919)-827-8373	NA	NA	NA
Indian Organization for Rare Diseases	NA	http://www.i-ord.org/	"The Indian organization for rare diseases", for short	699 Apache LaneSt. Paul, Minnesota 55120 USA	NA	NA	NA	NA
Hereditary Leiomyomatosis & Renal Cell Cancer Family Alliance	hlrcc@vhl.org	http://www.hlrccinfo.org/	Facebook Group	2001 Beacon Street, Suite 208Boston, Massachusetts 02135 USA	617-277-5667 ext. 709	NA	800-767-4845 ext. 709	NA
Daybreak Children’s Rare Disease Fund	info@daybreakfoundation.org	http://www.daybreakfoundation.org	Daybreak Children's Rare Disease Fund's mission is to support the best research aimed at the cure of rare genetic diseases. Daybreak choose as primary beneficiaries of its efforts Fondazione Telethon Italia and its two world-class research centers, TIGEM and TIGET.	3501, Via del PradoCalabasas, CA 91302 	+1 (323) 284 4451	NA	NA	NA
Worldwide Syringomyelia & Chiari Task Force, Inc.	wstfcure@wstfcure.org	http://www.wstfcure.org	Our purpose is to educate the world about Syringomyelia. We provide those affected, with hope by advocating research for a cure. As our organization grows, we will provide direct assistance to those diagnosed with Syringomyelia by providing durable medical equipment to all who qualify by having a letter from their treating physician confirming diagnosis & disability; and provide excellent resources for continuity of care from childhood through adulthood.	PO Box 491975Lawrenceville, GA 30049 USA	1-914-510-CURE (2873)	NA	NA	NA
TargetCancer Foundation	info@targetcancerfoundation.org	http://www.targetcancerfoundation.org	TargetCancer Foundation promotes the development of lifesaving treatment protocols for rare cancers. TargetCancer Foundation directly supports initiatives at the forefront of cancer treatment by funding innovative research, fostering collaborations, and raising awareness among scientists, clinicians, and patients.	955 Massachusetts Avenue, #343Cambridge, MA 02139 USA	617-765-4881	NA	NA	NA
Lighthouse International	info@lighthouse.org	http://www.lighthouse.org	Since 1905, Lighthouse International has led the charge in the fight against vision loss through prevention, treatment and empowerment. Our founders, Winifred and Edith Holt, blazed a trail of firsts and opened up new doors of opportunity for people without sight. Today, we’re proud to continue the Holt legacy on behalf of all those who look to the Lighthouse as a beacon of hope today — and will for many years to come.	15 West 65th StreetNew York, NY 10023 USA	NA	NA	(800) 284-4422	NA
Pyruvate Kinase Deficiency Group	pyruvatekinasedeficiency@gmail.com	http://www.pyruvatekinasedeficiency.com	Our group's mission is to provide support and information to those living with pyruvate kinase deficiency, their families, and their caregivers.	NA	NA	NA	NA	NA
Kids Wish Network	wishes@kidswishnetwork.org	http://www.kidswishnetwork.org	www.kidswishnetwork.org	4060 Louis AvenueHoliday, FL 34691 USA	727-937-3600	727-937-3688	888-918-9004	NA
PRP Alliance, Inc.	bill.mccue@prpalliance.com	http://www.prpAlliance.com	The PRP Alliance, Inc. advocates the timely diagnosis, successful treatment and the increased research of pityriasis rubra pilaris. Toward this end, we support the PRP community worldwide with an online PRP Survival Guide, a comprehensive patient registry, an online registry of PRP-savvy dermatologists and an aggressive program to enlighten dermatologists about pityriasis rubra pilaris.	1500 Commerce DrivePlano, TX 75093-2640 USA	214-205-0574	NA	NA	NA
Pitt Hopkins Research Foundation	phrf-fundraising@pitthopkins.org	http://www.pitthopkins.org	The mission of the Pitt Hopkins Research Foundation (PHRF) is to support research dedicated to finding a treatment, and an eventual cure of Pitt Hopkins syndrome and other similar disorders. The PHRF is also dedicated to supporting the Pitt Hopkins community with resource recommendations, parental support and the latest medical information.	200 Harmon CourtWinston-Salem, NC 27106 USA	323-273-2632	NA	NA	NA
Hereditary Colon Cancer Foundation	info@HCCTakesGuts.org	http://www.hcctakesguts.org/	The Hereditary Colon Cancer Foundation is a nonprofit organization serving the hereditary colorectal cancer community. Our vision is to be a beacon of light - extending life expectancy, enhancing life quality, and instilling hope in those diagnosed with hereditary colon cancer syndromes.	P.O. Box 2005Park City, UT 84060 USA	334-740-8657	NA	NA	NA
Fat Disorders Research Society, Inc.	info@fatdisorders.org	http://www.fatdisorders.org	FDRS is dedicated to improving the quality of life for all people affected by adipose tissue disorders through research, education, advocacy and collaboration.	PO Box 3014Ridgefield, NJ 07657 USA	203-769-1267	NA	NA	NA
Ocular Melanoma Foundation	NA	http://www.ocularmelanoma.org/	OMF’s mission is to accelerate and enhance scientific research, advocacy, and awareness of ocular melanoma and to provide education and support to patients, their families, and healthcare professionals.	1717 K St., NWSuite 900Washington, DC 20006 USA	(202) 684-9380	NA	(800) 663-5930	NA
Jared’s Juggernaut, Inc.	NA	http://jaredsjuggernaut.org/	Our mission is to educate the public about sarcomas and rhabdomyo sarcoma and to help researchers find more targeted and body sparing treatments to destroy or stop the growth of sarcoma cancer cells.	NA	NA	NA	NA	NA
Julia’s Wings Foundation, Inc.	info@juliaswings.org	http://www.juliaswings.org/	The Julia’s Wings Foundation (JWF) is a non-profit charitable organization that provides financial to families of children with life threatening hematological diseases and to medical professionals for healthcare research. The foundation provides financial support to these families to cover costs of travel, lodging, and other living expenses for qualified participants. In addition, Julia’s Wings Foundation seeks to promote the advancement of research for Aplastic Anemia through contributions to organizations and individuals dedicated to this endeavor.	P.O. Box 581Sherman, CT 06784 USA	(860) 355-3653	(860) 354-9860	NA	NA
Community United for Research and Education of Ocular Melanoma	cureom@melanoma.org	http://www.cureom.org	The mission of CURE OM is to support research and accelerate the development of effective treatments and, ultimately, a cure for ocular melanoma through innovative strategies including international and interdisciplinary collaborations; to improve the lives of people affected by ocular melanoma by creating systems and programs to provide education and support; and to advocate for the ocular melanoma community.	1411 K Street, NWSuite 800Washington, D.C. 20005 USA	202-347-9675	202-347-9678	NA	NA
Morgan Leary Vaughan Fund, Inc.	hello@morgansfund.org	http://www.morgansfund.org/	The Morgan Leary Vaughan Fund's mission is to create an awareness of necrotizing enterocolitis (NEC) and serve as an educational resource about necrotizing enterocolitis; to organize and provide a support network for persons suffering from necrotizing enterocolitis and their relatives; to raise and distribute funds for the medical research of necrotizing enterocolitis; to identify existing organizations who are currently funding NEC research and to distribute funds earmarked for necrotizing enterocolitis research to such organizations; and to operate exclusively for charitable and educational purposes within the meaning of Section 501(c)(3) of the Internal Revenue Code, as amended.	PO Box 2488Milford, CT 06460 USA	203-606-4873	NA	NA	NA
BCM Families Foundation	info@BCMFamiles.org	http://www.blueconemonochromacy.org/bcm-families/	The mission of BCM Families Foundation is to eradicate Blue Cone Monochromacy by supporting the most promising biomedical and scientific research that will ultimately lead to a cure.	PO Box 7711Jupiter, FL 33458-7711 United States	803-479-3605	NA	NA	NA
Bardet Biedl Syndrome Family Association	mary.morris@bardetbiedl.org	http://www.bardetbiedl.org	NA	PO Box 8852Surprise, AZ 85374 	6235231484	NA	NA	NA
Oligophrenin-1 Syndrome Foundation	oligophrenin@gmail.com	http://www.ophn1.org	To provide support, information and advocacy for patients and families with oligophrenin-1 (OPHN1) deficiency, and connect patients and families with OPHN1 for ongoing support and future OPHN1 research.	1106 Doyle PlaceMountain View, CA 94040 USA	415-823-2394	NA	NA	NA
NTM Info & Research, Inc.	NTMMAIL@NTMINFO.ORG or susanw@ntminfo.org	HTTP	Facebook Name	1550 Madruga AvenueSuite 230Coral Gables, FL 33146 	305-667-6461	305-662-8035	NA	NA
PCDH19 Alliance	julie@pcdh19info.org	http://www.pcdh19info.org	NA	6 Wisteria Ct.Novato, CA 94945 	415-892-5794	NA	NA	NA
Gut Check Foundation	info@gutcheckfoundation.org	http://www.gutcheckfoundation.org	Facebook Name	2748 W. Highcliff DriveTucson, AZ 85745 	5202505441	NA	NA	NA
RASopathies Network USA	info@rasopathiesnet.org	http://www.rasopathiesnet.org	Facebook Name	244 Taos RoadAltadena, CA 91001-3953 	6266767694	NA	NA	NA
Dyskeratosis Congenita Outreach, Inc.	connect@dcoutreach.org	http://www.dcoutreach.org	Facebook Name	1562 First Avenue #205-4093New York, NY 10028-4004 USA	773-503-0528	NA	NA	NA
International FH Foundation	ask@fh-foundation.org	http://www.fh-foundation.org	The International FH Foundation (IFHF) supports communication and networking for the global familial hypercholesterolemia (FH) patient community and promotes awareness of FH by providing educational information to FH patients and a news registry for clinicians interested in FH research. The IFHF website has the latest global news and updates about FH research, and information about screening and proper diagnosis for medical professionals. Familial Hypercholesterolemia is a disease that inhibits the body’s ability to recycle cholesterol, causing cholesterol levels in individuals with FH to be exceedingly high. Risks include potential hardening of the arteries, heart disease, heart attack, and stroke. The two types of FH are the rare disease homozygous familial hypercholesterolemia (HoFH) and heterozygous familial hypercholesterolemia (HeFH).	St. Andrews CourtWellington St.Oxfordshire,  OX9 3WT 	01235 531 203	NA	NA	NA
Relapsing Polychondritis Awareness and Support Foundation, Inc.	admin@polychondritis.org; tchristie@polychondritis.org	http://www.Polychondritis.org	https://www.facebook.com/RPASFInc	PO Box 369Anoka, MN 55303 	612-296-1628	NA	NA	NA
Bloom’s Syndrome Association, Inc.	info@bloomssyndromeassociation.org	http://www.bloomssyndromeassociation.org	NA	PO Box 727Hanover, NH 03755-0727 	603-643-2850	NA	NA	NA
Beautiful You MRKH Foundation, Inc.	bymrkh@gmail.com	http://www.beautifulyoumrkh.org	Beautiful You MRKH (BYMRKH) supports women and girls with Mayer-Rokitansky-Kuster-Hauser Syndrome by creating a supportive commuity of both patients and healthcare professionals for those affected by this rare congential reproductive disease. BYMRKH has created a sister-to-sister program for peer mentoring. BYMRKH also provides educational resources for both the medical and patient communities about proper treatment and diagnosis of MRKH. The organization also works with medical professionals to conduct research for future treatments and cures. MRKH is a rare condition that causes an incomplete development of the female reproductive tract It affects approximately 1 in 4,000-5,000 women. The results of MRKH are misplaced ovaries and failure to menstruate. Women with this disorder also lack a fully functional uterus and cervix, and can have kidney misplacement, hearing loss, and even heart defects.	3811 Woodridge Ave.Silver Spring, MD 20902 USA	765-337-8683	NA	NA	NA
